,IndCode,IndName
92,DEVICES12,Total density per million population: Linear Accelerator
93,DEVICES13,Type of nomenclature system
94,DEVICES14,Use of nomenclature system
95,DEVICES15,Health technology (medical device) national policy
96,DEVICES16,Unit in the Ministry of Health responsible for the management of medical devices
97,DEVICES17,Procurement of medical devices carried out at the national level
98,DEVICES18,Availability of national list of approved medical devices for procurement or reimbursement
99,DEVICES19,"National guidelines, policies or recommendations on the procurement of medical devices"
100,DEVICES20,Availability of technical specifications of medical devices to support procurement or donations
101,DEVICES21,Total density per million population: Telecobalt Unit
102,DEVICES22,Total density per million population: Radiotherapy units
103,DEVICES23,Total density per million females aged from 50 to 69 years old: Mammography units
104,E_Group,"Enforcing bans on tobacco advertising, promotion and sponsorship"
105,E1_compliance,Compliance of ban on advertising on national TV and radio
106,E1_nat_tv_radio,Ban on advertising: National TV and radio
107,E10_compliance,Compliance of ban on promotional discounts
108,E10_promo_discounts,Ban on promotional discounts
109,E11_brand_stretching,Ban on non-tobacco goods AND services identified with tobacco brand names
110,E11_compliance,Compliance of ban on non-tobacco goods AND services identified with tobacco brand names
111,E12_brand_sharing,Ban on brand name of non-tobacco products used for tobacco product
112,E12_compliance,Compliance of ban on brand name of non-tobacco products used for tobacco product
113,E13_brand_placement,Ban on appearance of tobacco brands in TV and/or films (product placement)
114,E13_compliance,Compliance of ban on appearance of tobacco brands in TV and/or films (product placement)
115,E14_compliance,Compliance of ban on appearance of tobacco products in TV and/or films
116,E14_prod_tv_films,Appearance of tobacco products in TV and/or films
117,E14a_prod_tv_films,Ban on appearance of tobacco products in TV and/or films
118,E14b_movies_anti_tob_ads,"Requirement to present prescribed anti-tobacco ads before, during or after the broadcasting or showing of any visual entertainment media product that depicts tobacco products, use or images"
119,E15_compliance,Compliance of ban on sponsored events
120,E15_sponsored_events,Sponsored events
121,E15a_sponsorship,Complete ban on sponsorship
122,E15b_sponsor_contribution,"Ban on any form of contribution (financial or other support) to any event, activity or individual"
123,E15c_sponsor_publicity,"Banning the publicity of financial or other sponsorship or support by the tobacco industry of events, activities, individuals"
124,E16_csr_promo_self,Ban on tobacco companies/tobacco industry publicizing their “Corporate Social Responsibility” activities
125,E17_csr_promo_others,Ban on entities other than tobacco companies/tobacco industry publicizing the Corporate Social Responsibility activities of the tobacco companies
126,E18_csr_anti_tobacco_media,"Ban on tobacco companies funding or making contributions (including in-kind contributions) to smoking prevention media campaigns, including those directed at youth"
127,E19_movies_anti_tob_ads,"Required anti-tobacco ads for any visual entertainment media product that depicts tobacco products, use or images"
128,E2_intl_tv_radio,"Ban on advertising: International TV and radio (broadcast from abroad, including satellite)"
129,E21_vending_machines,Complete ban on tobacco vending machines
130,E22_subnational_exists,"Subnational bans on tobacco advertising, promotion and sponsorship"
131,E23_subnat_complete_bans_exist,"Subnational advertising, promotion and sponsorship bans - at least one jurisdiction has a comprehensive ban in place"
132,E24_internet_sales_ban,Ban on internet sales of tobacco products
133,E25_ban_display_pt_of_sale,Ban on display of tobacco products at points of sale
134,E26_direct_ad_fines,Law requires fines for violations of direct advertising bans
135,E27_indirect_ad_fines,Law requires fines for violations of indirect advertising bans
136,E3_compliance,Compliance of ban on advertising on local magazines and newspapers
137,E3_nat_print,Ban on advertising: Local magazines and newspapers
138,E4_intl_print,Ban on advertising: International magazines and newspapers
139,E5_billboards,Ban on advertising: Billboards and outdoor advertising
140,E5_compliance,Compliance of ban on advertising on billboards and outdoor advertising
141,E6_compliance,Compliance of ban on advertising at point of sale
142,E6_pt_of_sale,Ban on advertising: Point of sale
143,E6b_ban_display_pt_of_sale,Ban on display of tobacco products at points of sale
144,E7_internet,Ban on advertising: Internet
145,E9_compliance,Compliance of ban on free distribution of tobacco products in the mail or through other means
146,E9_free_distrib,Ban on free distribution of tobacco products in the mail or through other means
147,EC_direct_compliance,Compliance with bans on direct advertising
148,EC_indirect_compliance,Compliance with bans on promotion and sponsorship
149,EMFLIMITELECTRIC,Electric field (kV/m)
150,EMFLIMITELECTRICLF,Electric field (kV/m)
151,EMFLIMITELECTRICRF,Electric field (V/m)
152,EMFLIMITMAGNETIC,Magnetic flux density (microT)
153,EMFLIMITPOWERDENSITY,Power density (W/m^2)
154,EMFPOWERFREQUENCY,Power frequency (Hz)
155,EMFSAR,Specific absorption rate (SAR) (W/kg)
156,EMFSTANDARD,Existence of standards
157,EMFSTATUS,Legislative status
158,FINPROTECTION_CATA_ESTIMATE_AVAILABLE,Availability of estimates on large  health expenditures as a share of total expenditure or income
159,FINPROTECTION_CATA_TOT_10_LEVEL_MILLION,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (millions)"
160,FINPROTECTION_CATA_TOT_10_LEVEL_SH,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, estimated data) (%)"
161,FINPROTECTION_CATA_TOT_10_POP,"Population with household spending on health greater than 10% of total household budget (SDG 3.8.2, reported data) (%)"
162,FINPROTECTION_CATA_TOT_25_LEVEL_MILLION,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (millions)"
163,FINPROTECTION_CATA_TOT_25_LEVEL_SH,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, estimated data) (%)"
164,FINPROTECTION_CATA_TOT_25_POP,"Population with household spending on health greater than 25% of total household budget (SDG 3.8.2, reported data) (%)"
165,FINPROTECTION_IMP_NP_190_LEVEL_MILLION,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (millions)
166,FINPROTECTION_IMP_NP_190_LEVEL_SH,Total population  pushed below the $1.90 a day  poverty line by household  health expenditures (%)
167,FINPROTECTION_IMP_NP_310_LEVEL_MILLION,Total population  pushed below the $3.10 a day  poverty line by household  health expenditures (millions)
168,FINPROTECTION_IMP_NP_310_LEVEL_SH,Total population  pushed below the $3.10 a day  poverty line by household  health expenditures (%)
169,FINPROTECTION_IMP_NP190_POP,Population  pushed below the $1.90 a day  poverty line by household  health expenditures (%)
170,FINPROTECTION_IMP_NP310_POP,Population  pushed below the $3.10 a day  poverty line by household  health expenditures (%)
171,FINPROTECTION_IMP_PG_190_STD,"Increase in poverty gap due to household  health expenditures, expressed as a proportion of the $1.90 a-day poverty line (%)"
172,FINPROTECTION_IMP_PG_310_STD,"Increase in poverty gap due to household  health expenditures, expressed as a proportion of the 3.10 a-day poverty line (%)"
173,FINPROTECTION_IMPOV_ESTIMATE_AVAILABLE,Availability of estimates on impoverishment due to out-of-pocket health expenditures
174,fps,Demand for family planning satisfied - modern and traditional methods (%)
175,fpsmo,Demand for family planning satisfied - modern methods (%)
176,GBD_DALYRTAGE,"Age-standardized DALYs (per 100,000)"
177,GDO_q10x1,National regulator approval of anti-dementia medication
178,GDO_q10x1x1,Availability of generic anti-dementia medication
179,GDO_q10x1x2,Availability of at least one anti-dementia medication approved for on-label use reimbursement
180,GDO_q10x2_1AVAIL,Availability of atleast one adult hygiene products for people with dementia
181,GDO_q10x2_HOSUE,Availability of atleast one housing adjustment for people with dementia
182,GDO_q10x2_TECH,Availability of  atleast one assistive technology for people with dementia
183,GDO_q11x1,Existence of dementia national nongovernmental organization
184,GDO_q11x2x1,Dementia nongovernmental organization equipped with office
185,GDO_q11x2x2_1,Dementia nongovernmental organization office branches (Sub-national)
186,GDO_q11x2x2_2,Dementia nongovernmental organization office branches (Local)
187,GDO_q11x2x2_3,Dementia nongovernmental organization office branches (National only)
188,GDO_q11x2x3,Dementia nongovernmental organization staff primarily salaried/volunteer
189,GDO_q11x2x5,Provision of governmental funding to dementia nongovernmental organization for activities/services
190,GDO_q11x2x6,Dementia nongovernmental organization's involvement in policy development
191,GDO_q12x1,Existence of dementia carer support services
192,GDO_q12x1x1,Implementation level [national/subnational] of dementia carer support services
193,GDO_q12x1x2,Existence of dedicated resources for dementia carer support services
194,GDO_q12x1x3,Existence of implementation plan for dementia carer support services
195,GDO_q12x2_2,Existence of psycho-social supports for dementia carers
196,GDO_q12x2_3,Existence of respite care for dementia carers
197,GDO_q12x2_4,Existence of information on legal rights for dementia carers
198,GDO_q12x2_5,Existence of financial benefits/social protection for dementia carers
199,GDO_q12x2x1x1_1,"Accessibility of dementia carer training and education [Capital/capital and main cities/capital, main cities, rural areas]"
200,GDO_q12x2x1x1_1NGO,Majority provider of dementia carer training and education (NGO)
201,GDO_q12x2x1x1_1PRV,Majority provider of dementia carer training and education (Private sector)
202,GDO_q12x2x1x1_1PUB,Majority provider of dementia carer training and education (Public sector)
203,GDO_q12x2x1x1_2,"Accessibility of psycho-social supports for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]"
204,GDO_q12x2x1x1_2NGO,Majority provider of psycho-social supports for dementia carers (NGO)
205,GDO_q12x2x1x1_2PRV,Majority provider of psycho-social supports for dementia carers (Private sector)
206,GDO_q12x2x1x1_2PUB,Majority provider of psycho-social supports for dementia carers (Public sector)
207,GDO_q12x2x1x1_3,"Accessibility of respite care for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]"
208,GDO_q12x2x1x1_3NGO,Majority provider of respite care for dementia carers (NGO)
209,GDO_q12x2x1x1_3PRV,Majority provider of respite care for dementia carers (Private sector)
210,GDO_q12x2x1x1_3PUB,Majority provider of respite care for dementia carers (Public sector)
211,GDO_q12x2x1x1_4,"Accessibility of information on legal rights for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]"
212,GDO_q12x2x1x1_4NGO,Majority provider of information on legal rights for dementia carers (NGO)
213,GDO_q12x2x1x1_4PRV,Majority provider of information on legal rights for dementia carers (Private sector)
214,GDO_q12x2x1x1_4PUB,Majority provider of information  on legal rights for dementia carers (Public sector)
215,GDO_q12x2x1x1_5,"Accessibility of financial benefits/social protection for dementia carers [Capital/capital and main cities/capital, main cities, rural areas]"
216,GDO_q12x2x1x1_5NGO,Majority provider of information on financial benefits/social protection for dementia carers (NGO)
217,GDO_q12x2x1x1_5PRV,Majority provider of information on financial benefits/social protection for dementia carers (Private sector)
218,GDO_q12x2x1x1_5PUB,Majority provider of information  on financial benefits/social protection for dementia carers (Public sector)
219,GDO_q12x2x1x3,Estimated number of dementia carers receiving training and education
220,GDO_q12x2x2x3,Estimated number of dementia carers receiving psycho-social supports
221,GDO_q12x2x3x3,Estimated number of dementia carers receiving respite care
222,GDO_q12x2x4x3,Estimated number of dementia carers receiving information on legal rights
223,GDO_q12x2x5x3,Estimated number of dementia carers receiving financial benefits/social protection
224,GDO_q13x1,Existence of at least one functioning dementia awareness campaign
225,GDO_q13x1x1,Implementation level [national/subnational] of dementia awareness campaign
226,GDO_q13x3,Existence of at least one functioning risk reduction campaign
227,GDO_q13x3x1,Implementation level [national/subnational] of dementia risk reduction campaign
228,GDO_q14x1,Availability of dementia-friendly initiatives that improve accessibility
229,GDO_q14x2_1,Existence of dementia-friendly initiative to improve accessibility of public spaces
230,GDO_q14x2_2,Existence of dementia-friendly initiative to improve accessibility of public transportation
231,GDO_q14x2_3,Existence of dementia-friendly initiative for assistance with home modification
232,GDO_q14x2_4,Existence of dementia-friendly initiative with assistive technology for loss of capacity
233,GDO_q14x2_5,Existence of dementia-friendly initiative supporting community places for older people
234,GDO_q14x2_6,Existence of dementia-friendly initiative supporting social opportunities
235,GDO_q15x1,Inclusion of dementia training and education for non-health workers
236,GDO_q15x2_1,Existence of dementia training for volunteers
237,GDO_q15x2_2,Existence of dementia training for police and fire services
238,GDO_q15x2_3,Existence of dementia training for first responders
239,GDO_q15x2_4,Existence of dementia training for legal professionals
240,GDO_q15x2_5,Existence of dementia training for community workers
241,GDO_q15x2_6,Existence of dementia training for school children
242,GDO_q15x2_7,Existence of dementia training for financial service staff
243,GDO_q15x2_8,Existence of dementia training for retail and hospitality staff
244,GDO_q16x1,Routine monitoring of people with dementia
245,GDO_q16x1x1_1,Data sources used to routinely monitor people with dementia (Clinical records)
246,GDO_q16x1x1_2,Data sources used to routinely monitor people with dementia (Household surveys)
247,GDO_q16x1x1_3,Data sources used to routinely monitor people with dementia (Administrative data)
248,GDO_q16x1x1_4,Data sources used to routinely monitor people with dementia (Facility survey or records)
249,GDO_q16x1x1_other,Data sources used to routinely monitor people with dementia (Other)
250,GDO_q16x1x2_1,Electronic availability of data sources used to routinely monitor people with dementia
251,GDO_q16x1x2_2,Data used to routinely monitor people with dementia can be disaggregated
252,GDO_q16x2_1,Availability of routine hospital admissions records for people with dementia for monitoring purposes
253,GDO_q16x2_2,Availability of routine outpatient visit records for people with dementia for monitoring purposes
254,GDO_q16x2_3,Availability of routine outpatient intervention and treatment records for people with dementia for monitoring purposes
255,GDO_q16x2_4,Availability of routine pharmaceutical records for people with dementia for monitoring purposes
256,GDO_q16x2_5,Availability of routine antipsychotic prescription records for people with dementia for monitoring purposes
257,GDO_q16x3,Availability and status of dementia reporting in the past two years
258,GDO_q17x1,Existence of a current dementia research plan/programme
259,GDO_q17x1x1,Implementation level [national/subnational] of dementia research plan/programme
260,GDO_q17x2,Dementia integrated into other national research plan/programme
261,GDO_q17x2x1_1,Identification of other research plans in which dementia is integrated (Mental health)
262,GDO_q17x2x1_2,Identification of other research plans in which dementia is integrated (Ageing)
263,GDO_q17x2x1_3,Identification of other research plans in which dementia is integrated (Neuro or neurodegenerative disease)
264,GDO_q17x2x1_4,Identification of other research plans in which dementia is integrated (NCD)
265,GDO_q17x2x2,Implementation level [national/subnational] of research plan in which dementia is integrated
266,GDO_q18x2,Availability of funding for dementia-specific research plan/programme
267,GDO_q18x2x1_1,"Total expenditure on dementia research (local currency, self-report)"
268,GDO_q18x2x3_1,"Total expenditure on dementia basic research (local currency, self-report)"
269,GDO_q18x2x3_2,"Total expenditure on dementia clinical/translational research (local currency, self-report)"
270,GDO_q18x2x3_3,"Total expenditure on dementia implementation research (local currency, self-report)"
271,GDO_q19x2,Number of people with dementia involved in research routinely monitored
272,GDO_q19x3,Availability of investigational pharmaceutical trials for dementia
273,GDO_q19x3x1_1,Number of investigational pharmaceutical trials for dementia
274,GDO_q1x1,Inclusion of dementia in ministry portfolio
275,GDO_q1x1x1,"Inclusion of dementia in a branch of government [health, ageing, social services, mental health, noncommunicable disease]"
276,GDO_q1x2,Existence of dementia representative in ministry
277,GDO_q20,Total number of published dementia research output
278,GDO_q2x1,Existence of dementia national plan
279,GDO_q2x1x2,Availability of funding for dementia national plan
280,GDO_q2x1x3,Targets for monitoring implementation of dementia national plan
281,GDO_q2x2,Dementia integrated into other national plan
282,GDO_Q2x2x1_AGE,Identification of other plans in which dementia is integrated (Ageing)
283,GDO_Q2x2x1_DISAB,Identification of other plans in which dementia is integrated (Disability)
284,GDO_Q2x2x1_MENTAL,Identification of other plans in which dementia is integrated (Mental health)
285,GDO_Q2x2x1_NCD,Identification of other plans in which dementia is integrated (NCD)
286,GDO_q2x2x1_other,Identification of other plans in which dementia is integrated (Other)
287,GDO_q2x3,Existence of dementia sub-national plan(s)
288,GDO_q2x3x1_1,Percentage of sub-national regions covered by dementia plan
289,GDO_q2x4_1,Inclusion of human rights as a guiding principle of the dementia plan
290,GDO_q2x4_2,Inclusion of equity as a guiding principle of the dementia plan
291,GDO_q2x4_3,Inclusion of empowerment as a guiding principle of the dementia plan
292,GDO_q2x4_4,Inclusion of multisectoral collaboration as a guiding principles of the dementia plan
293,GDO_q2x4_5,Inclusion of universal health coverage as a guiding principle of the dementia plan
294,GDO_q2x5_1,Inclusion of dementia-friendly communities as a specific action of the dementia plan
295,GDO_q2x5_2,Inclusion of dementia risk reduction as a specific action of the dementia plan
296,GDO_q2x5_3,"Inclusion of dementia diagnosis, care and support as a specific action of the dementia plan"
297,GDO_q2x5_4,Inclusion of dementia workforce training as a specific action of the dementia plan
298,GDO_q2x5_5,Inclusion of support for dementia carers and families as a specific action of the dementia plan
299,GDO_q2x5_6,Inclusion of improved information system as a specific action of the dementia plan
300,GDO_q2x5_7,Inclusion of research and innovation as a specific action of the dementia plan
301,GDO_q35,Estimated population-based prevalence of depression
302,GDO_q3x1,Existence of dementia legislation
303,GDO_q3x1x1_1,Implementation level [national/subnational] of dementia legislation
304,GDO_q3x2,Existence of other laws that apply to the rights of people with dementia
305,GDO_q3x3a_1,Existence of legislation for supported decision making for people with dementia
306,GDO_q3x3a_2,Existence of legislation to file appeals protecting the rights of people with dementia
307,GDO_q3x3a_3,Existence of legislation to promote community-based services for people with dementia
308,GDO_q3x3a_4,Existence of legislation to promote monitoring of human rights conditions of people with dementia in facilities where they reside
309,GDO_q3x3b_1,Existence of legislation to end coercieve practices for people with dementia
310,GDO_q3x4_1,Existence of legislation for advanced care directives for people with dementia
311,GDO_q3x4_2,Existence of legislation to end discrimination against people with dementia
312,GDO_q3x4_3,Existence of legislation to end discrimination against carers of people with dementia
313,GDO_q4x1,Existence of dementia standards/ guidelines/ protocols
314,GDO_q4x1x1_SQ001,Implementation level of dementia standards/ guidelines/ protocols (National)
315,GDO_q4x1x1_SQ002,Implementation level of dementia standards/ guidelines/ protocols (Sub-national)
316,GDO_q4x1x2,Existence of approved government dementia standards/ guidelines/ protocols
317,GDO_q4x2_1,Existence of standards/ guidelines/ protocols for prevention and risk reduction of dementia
318,GDO_q4x2_2,Existence of standards/ guidelines/ protocols for diagnosis of dementia
319,GDO_q4x2_3,Existence of standards/ guidelines/ protocols for management of dementia
320,GDO_q4x2_4,Existence of standards/ guidelines/ protocols for other post-diagnostic supports of people with dementia
321,GDO_q4x2_5,Existence of standards/ guidelines/ protocols for treatment and support of carers and families of people with dementia
322,GDO_q4x3x4_1,"Existence of standards/ guidelines/ protocols for advance care directives, power of attorney or guardianship for people with dementia"
323,GDO_q4x3x4_2,Existence of standards/ guidelines/ protocols for palliative and end-of-life care for people with dementia
324,GDO_q4x3x4_3,Existence of standards/ guidelines/ protocols of care in nursing & residential care facilities for people with dementia
325,GDO_q4x3x4_4,Existence of standards/ guidelines/ protocols of care in hospital for people with dementia
326,GDO_q5x1,Availability of mechanisms to coordinate dementia care across sectors
327,GDO_q5x1x1_1,Identification of different sectors in dementia care coordination  (Health)
328,GDO_q5x1x1_2,Identification of different sectors in dementia care coordination (Social)
329,GDO_q5x1x1_3,Identification of different sectors in dementia care coordination (Education)
330,GDO_q5x1x1_4,Identification of different sectors in dementia care coordination (Employment)
331,GDO_q5x1x1_5,Identification of different sectors in dementia care coordination (Justice)
332,GDO_q5x1x1_6,Identification of different sectors in dementia care coordination (Housing)
333,GDO_q5x1x1_7,Identification of different sectors in dementia care coordination (Civil society)
334,GDO_q5x1x1_8,Identification of different sectors in dementia care coordination (Private sector)
335,GDO_q5x1x1_other,Identification of different sectors in dementia care coordination (Other)
336,GDO_q5x1x2,Implementation level [national/subnational] of dementia care coordination
337,GDO_q5x1x3,Presence of formal agreement/joint plan for dementia care coordination
338,GDO_q5x2,Availability of dementia care coordination standards/ guidelines/ protocols
339,GDO_q6x1_2,"Number of neurologists (per 100,000)"
340,GDO_q6x1_3,"Number of geriatricians or psychogeriatricians (per 100,000)"
341,GDO_q6x2_1,Inclusion of basic dementia competencies in training of physicians
342,GDO_q6x2_2,Inclusion of basic dementia competencies in training of specialists
343,GDO_q6x2_3,Inclusion of basic dementia competencies in training of nurses
344,GDO_q6x2_4,Inclusion of basic dementia competencies in training of pharmaceutical personnel
345,GDO_q6x2_5,Inclusion of basic dementia competencies in training of social workers
346,GDO_q6x2_6,Inclusion of basic dementia competencies in training of personal support workers
347,GDO_q7x1_AVAIL,Availability of dementia diagnostic rate
348,GDO_q8x1,Existence of community-based health or social care services for dementia
349,GDO_q8x2_1,Availability of diagnostic services in community for dementia
350,GDO_q8x2_2,Availability of behaviour and psychological management in community for dementia
351,GDO_q8x2_3,Availability of psychosocial and rehabilitation services in community for dementia
352,GDO_q8x2_4,Availability of activities of daily living support services in community for dementia
353,GDO_q8x2_5,Availability of palliative and end-of-life care services in community for dementia
354,GDO_q8x2_6,Availability of social and financial protection for dementia
355,GDO_q8x3_1,"Accessibility of diagnostic services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
356,GDO_q8x3_2,"Accessibility of behaviour and psychological management in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
357,GDO_q8x3_3,"Accessibility of psychosocial and rehabilitation services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
358,GDO_q8x3_4,"Accessibility of activities of daily living support services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
359,GDO_q8x3_5,"Accessibility of palliative and end-of-life care services in community for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
360,GDO_q8x3_6,"Accessibility of social and financial protection for dementia [Capital/capital and main cities/capital, main cities, rural areas]"
361,GDO_q8x4_1,"Majority provider of diagnostic services in community for dementia [public, private]"
362,GDO_q8x4_2,"Majority provider of behaviour and psychological management in community for dementia [public, private]"
363,GDO_q8x4_3,"Majority provider of psychosocial and rehabilitation services in community for dementia [public, private]"
364,GDO_q8x4_4,"Majority provider of activities of daily living support services in community for dementia [public, private]"
365,GDO_q8x4_5,"Majority provider of palliative and end-of-life care services in community for dementia [public, private]"
366,GDO_q8x4_6,"Majority provider of social and financial protection for dementia [public, private]"
367,GDO_q8x5_2,Estimated number of people receiving behaviour and psychological management services in community for dementia
368,GDO_q8x5_3,Estimated number of people receiving psychosocial and rehabilitation services in community for dementia
369,GDO_q8x5_4,Estimated number of people receiving activities of daily living support services in community for dementia
370,GDO_q8x5_5,Estimated number of people receiving palliative and end-of-life care services in community for dementia
371,GDO_q8x5_6,Estimated number of people with dementia receiving social and financial protection for dementia
372,GDO_q9_1,Dementia care facilities [hospitals]
373,GDO_q9_2,Care facilities [long-term care]
374,GDO_q9_3,Care facilities [hospice centres]
375,GDO_q9_4,Adult day centres
376,GDO_q9_5,Outpatient health centres
377,GDO_q9_6,Outpatient social centres
378,GDO_q9x1_3,"Dementia-specific hospital beds (per 10,000 population)"
379,GDO_q9x1_4,"Geriatric-specific hospital beds (per 10,000 population)"
380,GDO_q9x1_5,"Total dementia hospital admissions (per 100,000)"
381,GDO_q9x1_7,Estimated percentage of hospitals following national dementia standards
382,GDO_q9x2_1,"Density of residential long-term care facilities (per 100,000 population)"
383,GDO_q9x2_2,Residential long-term care beds (per 10 000 population)
384,GDO_q9x2_3,"Dementia-specific residential long-term care beds (per 10,000 population)"
385,GDO_q9x2_4,Estimated number of people with dementia living in residential long-term care
